,wardName,wardNo,area(sq km),totalPopulation
357,Puthuppally,358,22.4,29784
358,Ramapuram,359,54.54,29395
359,Teekoy,360,27.19,10852
360,Thalappalam,361,29.92,13361
361,Thalayazham,362,22.41,20151
362,Thiruvarpu,363,33.59,29435
363,Thrikkodithanam,364,11.46,35906
364,Uzhavoor,365,26.67,14339
365,Vakathanam,366,26.48,33550
366,Vazhappally,367,21.73,35800
367,Vazhoor,368,30.0,25169
368,Vechoor,369,29.13,17041
369,Veliyannoor,370,19.49,11195
370,Vellavoor,371,23.46,17115
371,Velloor,372,19.3,22785
372,Balusseri,373,22.44,27363
373,Koorachundu,374,87.98,17027
374,Kottur,375,28.96,30982
375,Naduvannur,376,22.2,25979
376,Panangad,377,47.0,33971
377,Ulliyeri,378,25.86,32509
378,Unnikulum,379,38.26,49348
379,Chelannur,380,23.81,40697
380,Kakkodi,381,18.59,42866
381,Kakkur,382,20.38,22788
382,Nanmanda,383,28.1,27316
383,Narikunni,384,17.64,24290
384,Thalakulathur,385,21.54,29388
385,Kizhakkoth,386,19.84,31261
386,Kodencheri,387,102.56,34854
387,Koodaranji,388,98.21,18678
388,Madavoor,389,19.39,28672
389,Puthuppady,390,64.75,42083
390,Thiruvambadi,391,83.96,28820
391,Olavanna,392,21.43,68432
392,Chathamangalam,393,40.24,46688
393,Kodiyathur,394,29.81,28335
394,Kunnamangalam,395,27.23,53223
395,Kuruvattur,396,17.94,34241
396,Mavoor,397,20.48,29781
397,Perumanna,398,13.45,35460
398,Peruvayal,399,26.39,47700
399,Kavilumpara,400,84.81,22828
400,Kayakkodi,401,28.14,24578
401,Kunnummal,402,10.58,18031
402,Kuttiadi,403,15.0,19351
403,Maruthomkara,404,26.9,19871
404,Naripetta,405,50.63,26529
405,Meppayur,406,23.37,27929
406,Thikkodi,407,14.15,27051
407,Thurayur,408,10.48,14176
408,Arikulam,409,16.25,18378
409,Atholi,410,21.06,28213
410,Chemanachery,411,16.76,34819
411,Chengottukavu,412,13.6,26791
412,Moodadi,413,16.01,30170
413,Chakittapara,414,142.45,21086
414,Changaroth,415,30.84,32107
415,Cheruvannur,416,21.61,23388
416,Koothali,417,14.13,16969
417,Nochad,418,23.64,26857
418,Perambra,419,26.12,32784
419,Ayancheri,420,20.84,26293
420,Maniyur,421,31.03,39961
421,Thiruvallur,422,27.54,35598
422,Villiyappally,423,1735.0,34502
423,Chekkiad,424,27.69,24246
424,Edacheri,425,16.17,26819
425,Purameri,426,20.27,27612
426,Thuneri,427,15.45,23421
427,Valayam,428,31.08,18374
428,Vanimel,429,36.53,25412
429,Azhiyur,430,9.77,30023
430,Chorode,431,12.75,38245
431,Eramala,432,19.06,34658
432,Onchiyam,433,8.33,28650
433,Abdul Rahiman Nagar,434,14.83,41993
434,Alamcode,435,20.5,33918
435,Aliparamba,436,34.37,41725
436,Amarambalam,437,84.64,35975
437,Angadipuram,438,38.5,56451
438,Areekkode,439,12.21,31563
439,Athavanad,440,26.77,41187
440,Chekkode,441,23.96,32867
441,Chelambra,442,15.91,34149
442,Cheriyamundam,443,11.95,31212
